date,sido,total_area_ha,fire_count
2022-01-01,충남,0.3,1
2022-01-02,경북,0.2,1
2022-01-02,전남,0.1,1
2022-01-03,강원,0.8,1
2022-01-03,대구,0.08,1
2022-01-04,강원,0.2,1
2022-01-04,경기,0.01,1
2022-01-04,경남,0.01,1
2022-01-04,경북,0.55,2
2022-01-04,대구,0.01,1
2022-01-04,충북,0.9,1
2022-01-06,경기,0.5,1
2022-01-06,경남,0.02,2
2022-01-06,충남,0.15,1
2022-01-07,경기,0.16,1
2022-01-07,경남,0.1,1
2022-01-07,경북,0.1,1
2022-01-08,경남,0.1,1
2022-01-08,경북,0.1,1
2022-01-08,울산,0.05,1
2022-01-08,충북,0.1,1
2022-01-09,경남,0.54,2
2022-01-09,전북,0.06,1
2022-01-10,강원,0.01,1
2022-01-10,경기,0.28,2
2022-01-10,경남,5.53,2
2022-01-10,경북,14.1,1
2022-01-10,전남,1.1,1
2022-01-12,강원,0.15,1
2022-01-12,경기,0.05,1
2022-01-12,경북,0.15000000000000002,2
2022-01-13,경기,0.01,1
2022-01-14,강원,0.3,1
2022-01-14,경북,0.2,1
2022-01-15,경기,0.01,1
2022-01-15,경남,0.02,1
2022-01-16,경기,0.1,1
2022-01-16,부산,2.5,1
2022-01-16,인천,0.04,1
2022-01-17,경기,0.02,1
2022-01-17,경북,0.01,1
2022-01-18,경북,0.03,2
2022-01-19,경남,0.19,1
2022-01-19,경북,4.2,2
2022-01-19,부산,0.02,1
2022-01-19,북부,0.2,1
2022-01-20,부산,0.33,1
2022-01-23,경기,0.66,3
2022-01-23,경남,0.03,1
2022-01-24,경남,0.02,1
2022-01-24,경북,0.2,1
2022-01-25,경북,0.1,1
2022-01-25,대구,0.05,1
2022-01-26,경북,0.11,2
2022-01-26,울산,0.03,1
2022-01-27,경기,0.02,1
2022-01-27,울산,0.3,1
2022-01-27,전북,0.3,1
2022-01-28,경남,1.76,2
2022-01-28,경북,1.3399999999999999,2
2022-01-28,전남,4.4,1
2022-01-29,울산,0.01,1
2022-01-29,전북,0.5,1
2022-01-30,강원,0.1,1
2022-01-30,경기,0.08,2
2022-01-30,경북,0.1,1
2022-01-30,충남,0.01,1
2022-01-31,강원,0.2,1
2022-01-31,경기,0.31,2
2022-01-31,경남,0.01,1
2022-01-31,경북,0.01,1
2022-01-31,전남,0.02,1
2022-01-31,충남,0.01,1
2022-02-01,경북,0.1,1
2022-02-01,울산,2.5,1
2022-02-02,경북,0.1,1
2022-02-03,경북,0.2,1
2022-02-04,강원,0.1,1
2022-02-04,경기,0.9,1
2022-02-04,세종,0.03,1
2022-02-05,경남,0.9,1
2022-02-05,경북,0.69,1
2022-02-05,부산,0.07,1
2022-02-06,경기,0.15,1
2022-02-06,경남,1.03,1
2022-02-07,경북,1.15,1
2022-02-07,전남,0.39,1
2022-02-08,경기,0.5,1
2022-02-08,울산,0.3,1
2022-02-09,강원,0.05,1
2022-02-10,경기,1.7100000000000002,4
2022-02-10,경북,1.37,1
2022-02-10,대구,12.4,1
2022-02-11,강원,0.1,1
2022-02-11,경남,0.06,1
2022-02-11,경북,0.5,1
2022-02-11,부산,0.04,1
2022-02-11,세종,0.06,1
2022-02-11,충남,0.18,2
2022-02-12,강원,0.1,1
2022-02-12,경기,0.67,2
2022-02-12,남부,0.24,1
2022-02-12,부산,0.01,1
2022-02-12,세종,0.03,1
2022-02-12,전남,0.7,3
2022-02-12,충북,3.27,2
2022-02-13,강원,0.05,1
2022-02-13,경기,0.06,2
2022-02-13,부산,0.02,1
2022-02-13,전북,0.51,2
2022-02-14,강원,0.4,1
2022-02-14,경남,0.5,1
2022-02-14,경북,0.1,1
2022-02-14,충남,0.3,1
2022-02-15,경남,2.0,2
2022-02-15,경북,414.21999999999997,2
2022-02-15,전북,0.03,1
2022-02-16,경기,0.21,2
2022-02-16,경북,0.67,1
2022-02-16,부산,0.2,1
2022-02-16,북부,0.01,1
2022-02-18,경기,0.16,1
2022-02-18,경남,0.09,1
2022-02-18,전남,0.3,1
2022-02-18,충남,0.05,1
2022-02-19,강원,0.2,1
2022-02-19,경기,0.11,2
2022-02-19,전북,0.1,1
2022-02-19,충남,0.32999999999999996,2
2022-02-20,경기,0.04,2
2022-02-20,경남,0.07,1
2022-02-20,경북,0.96,1
2022-02-20,충북,0.1,1
2022-02-21,강원,0.1,1
2022-02-21,서부,0.3,1
2022-02-21,울산,0.3,1
2022-02-21,전남,0.3,1
2022-02-21,충남,0.01,1
2022-02-21,충북,0.15,1
2022-02-22,강원,3.95,1
2022-02-22,경기,0.22,4
2022-02-22,경북,9.43,2
2022-02-22,전북,16.5,1
2022-02-23,경기,3.0,1
2022-02-23,경남,0.3,1
2022-02-23,경북,0.30000000000000004,2
2022-02-23,동부,0.16,1
2022-02-24,강원,5.789999999999999,4
2022-02-24,경기,0.59,2
2022-02-24,경남,10.2,1
2022-02-24,경북,0.3,1
2022-02-24,광주,0.08,1
2022-02-24,서울,0.6,1
2022-02-24,인천,0.14,1
2022-02-24,충남,0.35,2
2022-02-25,경남,8.139999999999999,2
2022-02-25,경북,0.91,1
2022-02-25,울산,0.2,1
2022-02-25,전남,31.5,3
2022-02-25,충북,0.2,1
2022-02-26,강원,8.75,2
2022-02-26,경북,18.7,2
2022-02-26,남부,0.91,2
2022-02-26,대구,88.63,1
2022-02-26,인천,0.06,1
2022-02-26,전남,2.2,2
2022-02-26,충북,0.5,1
2022-02-27,경기,0.02,1
2022-02-27,경북,0.32,2
2022-02-27,울산,2.3,2
2022-02-27,충남,1.8900000000000001,4
2022-02-27,충북,0.03,1
2022-02-28,경기,0.03,1
2022-02-28,경남,813.89,1
2022-02-28,경북,0.67,1
2022-02-28,전남,0.1,1
2022-02-28,전북,0.1,1
2022-02-28,충북,0.02,1
2022-03-01,경북,1.69,1
2022-03-01,충남,0.05,1
2022-03-02,남부,20.0,1
2022-03-03,경기,0.15,3
2022-03-03,경남,0.45,1
2022-03-03,경북,0.7,3
2022-03-04,강원,214.89999999999998,2
2022-03-04,경기,0.09,1
2022-03-04,경남,16.3,1
2022-03-04,경북,16308.529999999999,3
2022-03-04,서울,1.8,1
2022-03-04,인천,0.01,1
2022-03-04,충남,0.77,1
2022-03-05,강원,4190.38,1
2022-03-05,경기,8.0,1
2022-03-05,경남,1.21,3
2022-03-05,경북,4.66,2
2022-03-05,대구,22.96,1
2022-03-05,충남,5.12,3
2022-03-06,경남,0.64,4
2022-03-06,부산,1.0,1
2022-03-06,울산,11.0,1
2022-03-06,충남,0.06,1
2022-03-07,경기,0.01,1
2022-03-07,대구,0.04,1
2022-03-07,충남,0.03,1
2022-03-08,강원,1.1,1
2022-03-08,경기,2.15,1
2022-03-08,울산,0.2,1
2022-03-08,전북,1.0,1
2022-03-08,제주,0.2,1
2022-03-09,경기,1.36,2
2022-03-09,경남,0.1,1
2022-03-09,울산,1.0,1
2022-03-09,전북,0.6,3
2022-03-10,경기,0.8600000000000001,2
2022-03-10,남부,1.16,1
2022-03-10,전남,0.1,1
2022-03-10,충남,1.51,3
2022-03-11,경기,0.3,1
2022-03-11,전북,0.05,2
2022-03-12,강원,0.33,1
2022-03-12,경기,0.1,1
2022-03-12,경남,0.6,1
2022-03-12,경북,0.15,1
2022-03-12,북부,8.0,1
2022-03-12,서부,3.8,1
2022-03-12,전남,3.0,1
2022-03-12,전북,0.02,1
2022-03-16,경북,0.48,1
2022-03-22,충남,0.09,1
2022-03-23,부산,0.33,1
2022-03-24,경남,1.47,1
2022-03-27,경남,0.1,1
2022-03-28,경기,0.39,2
2022-03-28,경남,0.02,1
2022-03-29,강원,0.65,1
2022-03-29,경기,0.01,1
2022-03-29,경남,0.05,1
2022-04-01,경기,0.89,1
2022-04-01,경남,0.01,1
2022-04-01,서울,0.02,1
2022-04-01,전남,1.0,1
2022-04-01,전북,0.1,1
2022-04-02,경기,0.77,4
2022-04-02,전북,5.0,1
2022-04-02,충남,0.01,1
2022-04-03,경북,0.1,1
2022-04-03,서울,0.01,1
2022-04-03,울산,0.1,1
2022-04-03,전북,0.09,1
2022-04-03,충북,0.25,1
2022-04-04,강원,0.3,1
2022-04-04,경기,8.54,6
2022-04-04,경북,0.17,1
2022-04-04,남부,3.5,1
2022-04-04,세종,0.3,1
2022-04-04,울산,0.02,1
2022-04-04,충남,0.07,1
2022-04-05,경기,0.9500000000000001,3
2022-04-05,경북,130.16,2
2022-04-05,인천,0.05,1
2022-04-05,충남,0.02,1
2022-04-06,경기,0.02,1
2022-04-06,경남,0.32,2
2022-04-06,경북,0.1,1
2022-04-06,인천,0.09,1
2022-04-07,경기,0.25,4
2022-04-07,전남,0.1,1
2022-04-07,전북,0.4,1
2022-04-08,경기,0.05,1
2022-04-08,경남,0.1,1
2022-04-08,전남,0.1,1
2022-04-08,전북,0.18,2
2022-04-08,충남,0.1,1
2022-04-09,경기,13.76,8
2022-04-09,경남,1.8,1
2022-04-09,경북,3.4,3
2022-04-09,전남,0.12,1
2022-04-09,전북,0.2,1
2022-04-09,충남,168.64000000000001,4
2022-04-10,강원,733.55,4
2022-04-10,경기,1.52,8
2022-04-10,경남,0.81,2
2022-04-10,경북,228.22,2
2022-04-10,대구,0.03,1
2022-04-10,부산,2.0,1
2022-04-10,서부,1.7,1
2022-04-10,전남,0.5,1
2022-04-10,전북,1.0,1
2022-04-11,강원,3.5,1
2022-04-11,경기,0.04,1
2022-04-11,경북,1.25,2
2022-04-11,대구,0.01,1
2022-04-11,울산,0.5,1
2022-04-11,충북,0.14,1
2022-04-12,강원,0.3,1
2022-04-12,경기,0.01,1
2022-04-12,경북,9.69,1
2022-04-12,과학원,0.27,1
2022-04-12,전남,1.3,2
2022-04-12,전북,0.04,1
2022-04-12,충남,0.26,2
2022-04-15,강원,0.02,1
2022-04-15,경기,0.01,1
2022-04-15,전남,0.3,1
2022-04-16,경기,0.02,1
2022-04-16,대구,0.01,1
2022-04-16,전남,0.6,1
2022-04-16,충남,0.08,1
2022-04-17,강원,0.2,1
2022-04-17,경기,0.05,1
2022-04-17,경북,0.1,1
2022-04-17,전남,1.2,2
2022-04-17,전북,0.35,1
2022-04-18,경기,0.46,1
2022-04-18,경남,0.2,1
2022-04-18,경북,0.2,1
2022-04-18,대구,0.03,1
2022-04-18,울산,0.01,1
2022-04-18,인천,0.03,1
2022-04-18,전북,0.6,1
2022-04-19,경남,0.01,1
2022-04-19,대구,0.15,1
2022-04-19,인천,0.69,1
2022-04-19,전북,0.21000000000000002,3
2022-04-19,충남,1.0,1
2022-04-20,강원,12.51,1
2022-04-20,경기,1.81,2
2022-04-20,경남,0.71,2
2022-04-20,대구,6.15,3
2022-04-20,전북,0.15,1
2022-04-20,중부,0.7,1
2022-04-20,충남,0.53,2
2022-04-21,강원,0.01,1
2022-04-21,경기,0.4,1
2022-04-21,북부,1.12,1
2022-04-21,충남,0.2,1
2022-04-22,강원,71.03999999999999,2
2022-04-22,경북,3.71,2
2022-04-22,중부,0.06,1
2022-04-22,충남,3.0,2
2022-04-23,경기,0.01,1
2022-04-23,경북,0.05,1
2022-04-23,전북,0.6,1
2022-04-23,중부,0.01,1
2022-04-23,충남,0.01,1
2022-04-23,충북,2.82,1
2022-04-24,강원,0.09,3
2022-04-24,경기,0.2,1
2022-04-24,경남,0.01,1
2022-04-24,경북,0.01,1
2022-04-24,세종,0.21,1
2022-04-24,충남,0.02,1
2022-04-24,충북,0.1,1
2022-04-25,강원,0.05,1
2022-04-25,경기,0.1,1
2022-04-25,대구,0.01,1
2022-04-25,북부,0.01,1
2022-04-25,전남,5.0,1
2022-04-25,전북,0.06,1
2022-04-26,경기,0.16,1
2022-04-28,경기,0.01,1
2022-05-01,경기,0.37,2
2022-05-01,전남,0.65,1
2022-05-01,충남,0.3,1
2022-05-02,경기,0.8,1
2022-05-02,경북,0.01,1
2022-05-03,경북,1.45,2
2022-05-03,동부,0.24,1
2022-05-03,전남,0.01,1
2022-05-03,충북,1.5,1
2022-05-04,경기,0.8,1
2022-05-04,전남,0.1,1
2022-05-05,경기,0.28,2
2022-05-05,경남,0.1,1
2022-05-05,충북,0.05,1
2022-05-06,부산,0.01,1
2022-05-07,경북,0.05,1
2022-05-07,전남,0.2,1
2022-05-08,충북,0.2,1
2022-05-09,강원,0.05,1
2022-05-09,남부,0.68,1
2022-05-09,전북,0.1,1
2022-05-12,강원,0.15,1
2022-05-12,경기,0.05,2
2022-05-13,충남,0.01,1
2022-05-14,서부,0.1,1
2022-05-14,서울,0.02,1
2022-05-14,전남,0.3,1
2022-05-15,강원,0.18,1
2022-05-15,경기,0.15,3
2022-05-15,경남,0.05,1
2022-05-15,경북,0.15000000000000002,2
2022-05-15,전북,0.5,1
2022-05-15,중부,2.1,1
2022-05-16,북부,0.06,1
2022-05-16,전북,0.43000000000000005,3
2022-05-16,충남,0.05,1
2022-05-16,충북,0.14,1
2022-05-17,강원,0.03,1
2022-05-17,경기,4.08,2
2022-05-17,경북,0.8,1
2022-05-17,남부,0.01,1
2022-05-17,충남,0.5,1
2022-05-18,강원,2.6,3
2022-05-18,전남,2.5,1
2022-05-18,충남,1.5,2
2022-05-19,경남,3.0,1
2022-05-19,울산,0.01,1
2022-05-20,강원,1.2,1
2022-05-20,경남,0.01,1
2022-05-20,경북,0.1,1
2022-05-21,강원,0.01,1
2022-05-21,경기,2.0,1
2022-05-21,경남,0.09999999999999999,2
2022-05-21,경북,0.24,3
2022-05-21,전북,0.5,2
2022-05-21,충남,0.01,1
2022-05-22,남부,1.0,1
2022-05-22,대구,0.39,1
2022-05-22,부산,0.02,1
2022-05-22,서울,0.01,1
2022-05-22,전북,0.1,1
2022-05-22,충북,0.01,1
2022-05-23,경기,0.15,2
2022-05-23,경남,0.01,1
2022-05-24,강원,0.1,1
2022-05-24,경북,0.06,1
2022-05-24,전남,1.5,1
2022-05-25,강원,0.21,1
2022-05-25,울산,0.01,1
2022-05-26,강원,0.02,1
2022-05-26,경기,1.06,2
2022-05-26,경남,5.3500000000000005,3
2022-05-26,경북,0.2,1
2022-05-27,경남,0.26,3
2022-05-27,경북,0.03,1
2022-05-27,부산,0.02,2
2022-05-27,전북,0.01,1
2022-05-28,경남,0.15,1
2022-05-28,경북,228.76,1
2022-05-29,경남,0.31,3
2022-05-29,부산,0.7,1
2022-05-29,전남,0.5,1
2022-05-29,전북,0.2,1
2022-05-31,경기,0.04,2
2022-05-31,경남,660.82,1
2022-05-31,경북,0.1,1
2022-05-31,대구,5.3,1
2022-05-31,전북,0.1,1
2022-06-01,경기,1.0,1
2022-06-01,경북,0.56,2
2022-06-01,북부,0.01,1
2022-06-01,충북,2.4,1
2022-06-02,동부,0.32,1
2022-06-02,북부,0.05,2
2022-06-02,전남,1.0,1
2022-06-02,전북,0.3,1
2022-06-03,대전,0.01,1
2022-06-03,북부,0.01,1
2022-06-03,울산,0.2,1
2022-06-03,충북,0.32,1
2022-06-04,강원,0.06,1
2022-06-04,경기,0.01,1
2022-06-05,경기,0.11,2
2022-06-13,충남,0.01,1
2022-06-14,경기,0.01,1
2022-06-20,강원,0.01,1
2022-06-21,경북,0.2,1
2022-06-21,대구,0.33,1
2022-06-21,전북,0.02,1
2022-06-21,충남,0.02,2
2022-07-02,경북,0.3,1
2022-07-05,경북,0.05,1
2022-07-28,충남,0.1,1
2022-09-15,중부,0.2,1
2022-09-21,전북,0.35,1
2022-09-21,충남,0.03,1
2022-09-22,강원,0.12,1
2022-09-22,전남,0.1,1
2022-09-22,전북,0.2,1
2022-09-23,전남,0.3,1
2022-09-24,강원,0.01,1
2022-09-27,경남,0.01,1
2022-09-27,경북,0.09,1
2022-09-27,전남,0.01,1
2022-10-01,강원,0.01,1
2022-10-02,강원,0.04,1
2022-10-16,경남,0.1,1
2022-10-17,전남,0.1,1
2022-10-18,대구,0.01,1
2022-10-19,광주,0.1,1
2022-10-19,대구,0.02,2
2022-10-19,울산,0.01,1
2022-10-20,경북,0.3,1
2022-10-20,남부,0.05,1
2022-10-20,전남,0.3,1
2022-10-21,경남,0.1,1
2022-10-22,동부,0.1,1
2022-10-25,경남,0.08,2
2022-10-26,경남,0.01,1
2022-10-27,경남,0.26,1
2022-10-28,경북,0.02,1
2022-10-28,전남,0.1,1
2022-10-29,북부,0.3,1
2022-10-30,광주,0.04,1
2022-10-30,세종,0.01,1
2022-10-30,전남,0.04,1
2022-11-01,북부,0.03,1
2022-11-01,전남,0.05,1
2022-11-02,경남,0.01,1
2022-11-02,경북,0.4,1
2022-11-02,광주,0.02,1
2022-11-02,수목원,3.0,1
2022-11-02,전남,0.02,1
2022-11-03,경남,0.01,1
2022-11-03,대전,0.01,1
2022-11-03,부산,0.03,1
2022-11-04,경북,0.52,2
2022-11-05,경북,0.8,1
2022-11-05,북부,0.3,1
2022-11-06,경남,0.5,1
2022-11-06,울산,0.01,1
2022-11-06,전남,0.05,1
2022-11-07,경남,0.11,2
2022-11-08,경기,0.2,1
2022-11-08,전북,0.02,1
2022-11-10,경남,0.11,1
2022-11-10,경북,0.53,2
2022-11-10,충남,0.06,1
2022-11-11,충남,0.01,1
2022-11-12,경남,0.34,1
2022-11-12,경북,0.02,1
2022-11-15,울산,0.5,1
2022-11-19,경기,0.06,1
2022-11-19,충남,0.01,1
2022-11-20,경기,0.1,1
2022-11-20,북부,0.5,1
2022-11-23,경기,0.5,1
2022-11-23,충남,0.16,1
2022-11-25,강원,1.0,1
2022-11-25,전북,5.0,1
2022-11-26,북부,0.01,1
2022-11-27,강원,0.01,1
2022-11-27,동부,0.04,1
2022-11-27,부산,0.06,1
2022-11-27,세종,0.03,1
2022-11-27,울산,0.11,2
2022-11-27,전남,0.05,1
2022-11-28,부산,0.3,1
2022-11-30,경기,0.06,1
2022-12-01,경기,0.06,1
2022-12-02,경남,0.01,1
2022-12-02,대구,0.1,1
2022-12-04,강원,0.9,1
2022-12-04,경기,0.13,1
2022-12-05,강원,0.02,1
2022-12-05,경남,0.1,1
2022-12-06,경남,0.01,1
2022-12-06,전남,0.1,1
2022-12-07,경남,0.01,1
2022-12-07,전남,0.05,1
2022-12-08,경남,0.2,1
2022-12-08,울산,0.02,1
2022-12-08,충북,0.05,1
2022-12-10,울산,0.02,1
2022-12-13,대구,0.01,1
2022-12-14,강원,5.2,1
2022-12-15,과학원,0.01,1
2022-12-15,전남,0.05,1
2022-12-16,경북,0.06,1
2022-12-17,강원,0.3,1
2022-12-19,경남,0.03,1
2022-12-19,전남,0.03,1
2022-12-20,경북,0.16,1
2022-12-24,경남,0.1,1
2022-12-25,강원,0.03,1
2022-12-26,경남,0.11,2
2022-12-26,울산,0.02,1
2022-12-27,경남,0.06,1
2022-12-28,울산,0.2,1
2022-12-29,경북,0.1,1
2022-12-29,부산,2.0,1
2022-12-30,경북,1.31,2
2022-12-30,울산,0.2,1
2022-12-31,전남,0.02,1
2023-01-01,경북,0.09,1
2023-01-02,경북,0.05,1
2023-01-02,인천,0.33,1
2023-01-03,남부,0.77,1
2023-01-03,부산,0.05,1
2023-01-04,부산,0.02,1
2023-01-05,경북,0.03,1
2023-01-06,전남,0.05,1
2023-01-06,전북,0.03,1
2023-01-08,부산,0.4,1
2023-01-09,강원,0.06,1
2023-01-09,경남,0.1,1
2023-01-09,광주,0.06,1
2023-01-10,경남,0.05,1
2023-01-11,강원,0.1,1
2023-01-12,경기,0.01,1
2023-01-12,경북,32.53,1
2023-01-12,남부,1.21,1
2023-01-12,전남,0.7,1
2023-01-13,경남,0.04,1
2023-01-21,강원,0.01,1
2023-01-21,경남,0.03,1
2023-01-21,전남,0.8,1
2023-01-21,전북,0.3,1
2023-01-22,경남,0.01,1
2023-01-22,울산,0.01,1
2023-01-23,경남,0.06,1
2023-01-24,경남,0.01,1
2023-01-24,부산,0.07,1
2023-01-25,경기,0.12,1
2023-01-26,부산,0.01,1
2023-01-27,경북,0.5,1
2023-01-28,경북,0.1,1
2023-01-28,부산,0.03,1
2023-01-29,경남,0.1,1
2023-01-29,전남,0.6,1
2023-01-30,울산,0.02,1
2023-01-31,강원,0.02,1
2023-02-01,경남,4.38,1
2023-02-01,경북,1.3,1
2023-02-01,부산,0.03,1
2023-02-01,세종,0.05,1
2023-02-01,울산,0.2,1
2023-02-01,중부,0.17,1
2023-02-03,경기,0.95,1
2023-02-03,북부,0.48,1
2023-02-04,경북,0.1,1
2023-02-04,부산,0.5,1
2023-02-04,전남,0.1,1
2023-02-05,경기,0.03,1
2023-02-05,경남,0.19,4
2023-02-05,전남,0.2,1
2023-02-05,전북,0.2,1
2023-02-06,경남,0.51,1
2023-02-06,경북,0.19,1
2023-02-06,전남,0.1,1
2023-02-06,전북,0.4,2
2023-02-07,경기,0.02,2
2023-02-07,경남,0.76,1
2023-02-07,경북,0.16,1
2023-02-08,경남,1.82,1
2023-02-08,대전,0.33,1
2023-02-08,전남,0.32,2
2023-02-09,전북,0.4,1
2023-02-09,충남,0.01,1
2023-02-10,경기,0.01,1
2023-02-12,경기,0.06,1
2023-02-14,경기,0.03,1
2023-02-15,경기,0.1,1
2023-02-15,경남,0.03,1
2023-02-15,세종,0.04,1
2023-02-17,북부,0.55,1
2023-02-17,세종,0.49,1
2023-02-17,전남,0.1,1
2023-02-19,경기,0.12,1
2023-02-19,경북,1.03,1
2023-02-20,경기,0.3,1
2023-02-20,경북,0.1,1
2023-02-20,북부,0.01,1
2023-02-21,경기,0.07,1
2023-02-21,경북,0.51,1
2023-02-22,강원,0.19,1
2023-02-22,경기,0.27,1
2023-02-22,충북,2.1,1
2023-02-23,강원,0.56,1
2023-02-23,경남,0.5,1
2023-02-23,경북,1.25,1
2023-02-23,울산,0.03,1
2023-02-23,충남,1.0,1
2023-02-24,경북,0.08,1
2023-02-24,대전,0.01,1
2023-02-24,부산,3.0,1
2023-02-24,전남,0.45,1
2023-02-25,경기,0.69,2
2023-02-25,경남,0.4,3
2023-02-25,경북,0.5,2
2023-02-25,인천,0.02,1
2023-02-25,전남,0.1,1
2023-02-25,충남,2.36,3
2023-02-26,강원,0.45,1
2023-02-26,경기,0.99,3
2023-02-26,경북,2.0,1
2023-02-26,광주,0.02,1
2023-02-26,세종,0.07,1
2023-02-26,인천,0.6,1
2023-02-26,전남,0.54,3
2023-02-26,전북,0.82,4
2023-02-26,충북,0.38,1
2023-02-27,강원,0.3,1
2023-02-27,경남,3.11,2
2023-02-27,경북,1.41,3
2023-02-27,전북,0.3,1
2023-02-27,충남,11.92,3
2023-02-28,강원,0.28,1
2023-02-28,경북,108.05,5
2023-02-28,동부,0.27,1
2023-02-28,전남,0.1,1
2023-02-28,전북,2.8,3
2023-02-28,충남,0.3,1
2023-03-01,경기,0.16,1
2023-03-01,경북,0.37,1
2023-03-01,전남,0.3,1
2023-03-02,경기,2.6900000000000004,3
2023-03-02,경남,0.1,1
2023-03-02,경북,9.77,1
2023-03-02,광주,0.3,1
2023-03-02,남부,0.1,1
2023-03-02,전남,1.52,3
2023-03-02,전북,0.22,2
2023-03-02,충남,0.1,1
2023-03-03,강원,0.06,1
2023-03-03,경기,0.03,2
2023-03-03,경남,0.13,1
2023-03-03,광주,0.08,1
2023-03-03,남부,16.1,1
2023-03-03,세종,0.39,1
2023-03-03,전남,47.0,1
2023-03-03,충남,2.32,5
2023-03-04,광주,0.01,1
2023-03-04,대구,0.94,1
2023-03-04,대전,0.01,1
2023-03-04,전남,0.5,1
2023-03-04,전북,0.1,1
2023-03-04,중부,0.3,1
2023-03-04,충남,0.3,1
2023-03-05,경남,0.09,1
2023-03-05,경북,3.0,1
2023-03-05,광주,0.05,1
2023-03-05,대전,0.15,1
2023-03-05,인천,0.01,1
2023-03-05,전남,0.35,2
2023-03-05,전북,0.3,1
2023-03-05,충남,1.4,2
2023-03-06,강원,0.18000000000000002,2
2023-03-06,경기,1.4,2
2023-03-06,경남,0.41000000000000003,2
2023-03-06,경북,3.96,4
2023-03-06,전남,2.36,3
2023-03-06,전북,0.4,1
2023-03-06,충북,0.30000000000000004,2
2023-03-07,경기,0.01,1
2023-03-07,경남,3.73,1
2023-03-07,경북,0.03,1
2023-03-07,대구,0.53,2
2023-03-07,부산,0.03,1
2023-03-07,충남,7.06,2
2023-03-08,경기,0.15,1
2023-03-08,경남,179.1,1
2023-03-08,대구,0.5800000000000001,2
2023-03-08,전남,2.0,1
2023-03-08,충남,30.0,1
2023-03-09,경기,0.06,1
2023-03-09,전남,0.1,1
2023-03-09,충남,0.25,2
2023-03-09,충북,2.0,1
2023-03-10,경기,0.27,1
2023-03-10,경남,0.01,1
2023-03-10,경북,3.43,1
2023-03-10,전북,1.0,1
2023-03-10,충북,1.73,1
2023-03-11,강원,0.13,1
2023-03-11,경기,0.55,2
2023-03-11,경남,131.46,2
2023-03-11,광주,3.9,1
2023-03-11,대구,0.35,1
2023-03-11,서울,0.02,1
2023-03-11,전북,0.3,1
2023-03-11,충남,3.5300000000000002,5
2023-03-11,충북,0.66,1
2023-03-12,경기,0.01,1
2023-03-12,경남,0.75,1
2023-03-13,경남,0.01,1
2023-03-13,남부,0.6,1
2023-03-13,전남,0.03,1
2023-03-14,강원,0.13,1
2023-03-14,경기,1.97,3
2023-03-14,경남,0.04,1
2023-03-14,경북,0.1,1
2023-03-14,전북,0.3,1
2023-03-14,충남,3.0,1
2023-03-14,충북,0.13,2
2023-03-15,경기,0.2,1
