Feature_Set,Model,Feature,Importance
v2_baseline,LogReg,HeatRisk,0.49651654120870736
v2_baseline,LogReg,DrynessRisk,1.004265266118374
v2_baseline,LogReg,WindRisk,0.044100588180245925
v2_baseline,LogReg,Dry7,0.5087436180051405
v2_baseline,LogReg,Dry30,0.03698121190773295
v2_baseline,LogReg,LongDryRisk,0.0819118544711798
v2_baseline,LogReg,SolarRisk,-0.23582381995624915
v2_baseline,LogReg,SnowRisk,-0.1896359432166823
v2_baseline,LogReg,Season_sin,0.6419135133934781
v2_baseline,LogReg,Season_cos,0.44331102112721743
v2_baseline,LogReg,WeekendRisk,0.06012467699266078
v2_baseline,LightGBM,HeatRisk,242330.02892017365
v2_baseline,LightGBM,DrynessRisk,2090085.5155944824
v2_baseline,LightGBM,WindRisk,131577.810505867
v2_baseline,LightGBM,Dry7,521137.4497718811
v2_baseline,LightGBM,Dry30,295937.522813797
v2_baseline,LightGBM,LongDryRisk,228219.7551612854
v2_baseline,LightGBM,SolarRisk,193722.71437835693
v2_baseline,LightGBM,SnowRisk,14859.749675750732
v2_baseline,LightGBM,Season_sin,577513.5849227905
v2_baseline,LightGBM,Season_cos,265597.5670595169
v2_baseline,LightGBM,WeekendRisk,6617.25940322876
v2_baseline,XGBoost,HeatRisk,0.05868322029709816
v2_baseline,XGBoost,DrynessRisk,0.2857722043991089
v2_baseline,XGBoost,WindRisk,0.04934932664036751
v2_baseline,XGBoost,Dry7,0.11493133008480072
v2_baseline,XGBoost,Dry30,0.07051002234220505
v2_baseline,XGBoost,LongDryRisk,0.06944551318883896
v2_baseline,XGBoost,SolarRisk,0.0671786442399025
v2_baseline,XGBoost,SnowRisk,0.08709850907325745
v2_baseline,XGBoost,Season_sin,0.10313383489847183
v2_baseline,XGBoost,Season_cos,0.05954134464263916
v2_baseline,XGBoost,WeekendRisk,0.034356020390987396
v3a,LogReg,HeatRisk,0.51422326074304
v3a,LogReg,DrynessRisk,1.0056119144205589
v3a,LogReg,WindRisk,0.12338103758729413
v3a,LogReg,Dry7,0.514444009074673
v3a,LogReg,Dry30,0.027856975299150284
v3a,LogReg,LongDryRisk,0.10280746771329728
v3a,LogReg,SolarRisk,-0.19770621362342944
v3a,LogReg,SnowRisk,-0.19242067716242117
v3a,LogReg,Season_sin,0.6281508027799625
v3a,LogReg,Season_cos,0.4874275972979522
v3a,LogReg,WeekendRisk,0.05523276639706974
v3a,LogReg,imsang_ForestRatio,-0.31515091733280015
v3a,LogReg,imsang_ConiferRatio,0.38231777625518854
v3a,LogReg,imsang_BroadleafRatio,0.27505809603969605
v3a,LogReg,imsang_MixedRatio,-0.3075325169503674
v3a,LogReg,imsang_BambooRatio,0.15034197424677775
v3a,LogReg,imsang_NonForestRatio,0.009262650560446964
v3a,LogReg,imsang_ForestRiskScore,-0.0622586112219107
v3a,LogReg,dem_MeanElevation,-1.777273430327856
v3a,LogReg,dem_MaxElevation,0.5804439566787005
v3a,LogReg,dem_MinElevation,1.1447643791688378
v3a,LogReg,dem_MeanSlope,0.005051045447730875
v3a,LogReg,dem_MaxSlope,0.050876201664800544
v3a,LogReg,dem_NorthRatio,-0.18669507178609596
v3a,LogReg,dem_EastRatio,-0.5249617498175997
v3a,LogReg,dem_SouthRatio,-0.4150903336548067
v3a,LogReg,dem_WestRatio,-0.09464705567738324
v3a,LogReg,dem_FlatRatio,-0.6184553081926863
v3a,LogReg,dem_TerrainRiskScore,0.3249594341759349
v3a,LightGBM,HeatRisk,104057.71192550659
v3a,LightGBM,DrynessRisk,2026014.6865634918
v3a,LightGBM,WindRisk,101967.13043403625
v3a,LightGBM,Dry7,415216.84066200256
v3a,LightGBM,Dry30,233744.71729564667
v3a,LightGBM,LongDryRisk,236100.6145877838
v3a,LightGBM,SolarRisk,84880.80115890503
v3a,LightGBM,SnowRisk,10082.739364624023
v3a,LightGBM,Season_sin,531629.864066124
v3a,LightGBM,Season_cos,145262.61929130554
v3a,LightGBM,WeekendRisk,7062.639862060547
v3a,LightGBM,imsang_ForestRatio,82918.18607139587
v3a,LightGBM,imsang_ConiferRatio,85146.7564201355
v3a,LightGBM,imsang_BroadleafRatio,24498.02664375305
v3a,LightGBM,imsang_MixedRatio,64708.02404022217
v3a,LightGBM,imsang_BambooRatio,44945.408906936646
v3a,LightGBM,imsang_NonForestRatio,12873.109848022461
v3a,LightGBM,imsang_ForestRiskScore,25450.614208221436
v3a,LightGBM,dem_MeanElevation,17974.6407623291
v3a,LightGBM,dem_MaxElevation,35258.552169799805
v3a,LightGBM,dem_MinElevation,42706.602197647095
v3a,LightGBM,dem_MeanSlope,55196.82308578491
v3a,LightGBM,dem_MaxSlope,154259.04866218567
v3a,LightGBM,dem_NorthRatio,34013.227310180664
v3a,LightGBM,dem_EastRatio,28704.756650924683
v3a,LightGBM,dem_SouthRatio,30833.00782775879
v3a,LightGBM,dem_WestRatio,91445.84929275513
v3a,LightGBM,dem_FlatRatio,91332.03178977966
v3a,LightGBM,dem_TerrainRiskScore,10523.108554840088
v3a,XGBoost,HeatRisk,0.019273104146122932
v3a,XGBoost,DrynessRisk,0.12108498811721802
v3a,XGBoost,WindRisk,0.01716671697795391
v3a,XGBoost,Dry7,0.0521138496696949
v3a,XGBoost,Dry30,0.03807467594742775
v3a,XGBoost,LongDryRisk,0.03150109946727753
v3a,XGBoost,SolarRisk,0.023917553946375847
v3a,XGBoost,SnowRisk,0.03473200276494026
v3a,XGBoost,Season_sin,0.037663597613573074
v3a,XGBoost,Season_cos,0.02264120616018772
v3a,XGBoost,WeekendRisk,0.015544905327260494
v3a,XGBoost,imsang_ForestRatio,0.031292084604501724
v3a,XGBoost,imsang_ConiferRatio,0.027273530140519142
v3a,XGBoost,imsang_BroadleafRatio,0.02317173406481743
v3a,XGBoost,imsang_MixedRatio,0.03859852999448776
v3a,XGBoost,imsang_BambooRatio,0.03243832290172577
v3a,XGBoost,imsang_NonForestRatio,0.03023296594619751
v3a,XGBoost,imsang_ForestRiskScore,0.045956045389175415
v3a,XGBoost,dem_MeanElevation,0.028103768825531006
v3a,XGBoost,dem_MaxElevation,0.032220132648944855
v3a,XGBoost,dem_MinElevation,0.03284139186143875
v3a,XGBoost,dem_MeanSlope,0.022183259949088097
v3a,XGBoost,dem_MaxSlope,0.034054599702358246
v3a,XGBoost,dem_NorthRatio,0.029462026432156563
v3a,XGBoost,dem_EastRatio,0.034183088690042496
v3a,XGBoost,dem_SouthRatio,0.030152877792716026
v3a,XGBoost,dem_WestRatio,0.03620794788002968
v3a,XGBoost,dem_FlatRatio,0.04114057123661041
v3a,XGBoost,dem_TerrainRiskScore,0.03677349165081978
